GMT-03:00,Altura Preenchida,Altura Prevista,Battery(v),Filtro Fraco Pressure_S1,Filtro Fraco Pressure_S2,Filtro Medio Pressure_S1,Filtro Medio Pressure_S2,Flag_Battery(v),Flag_GMT-03:00,Flag_Pressure_S1,Flag_Pressure_S2,Pressure_S1,Pressure_S2,Resíduo,Tipo_de_Filtro,Flag_origem,Altura Final,datetime_utc
2025-09-21 17:25:00,1.621,1.107,4.23620218579235,1.621,1.656,1.159,1.195,0.0,0.0,0.0,0.0,1.631,1.667,0.514,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.618,2025-09-21 17:25:00
2025-09-21 17:30:00,1.616,1.099,4.290300546448088,1.616,1.651,1.16,1.196,0.0,0.0,0.0,0.0,1.642,1.673,0.5170000000000001,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.613,2025-09-21 17:30:00
2025-09-21 17:35:00,1.607,1.091,4.270765027322405,1.607,1.642,1.161,1.197,0.0,0.0,0.0,0.0,1.619,1.656,0.516,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.604,2025-09-21 17:35:00
2025-09-21 17:40:00,1.594,1.082,4.287295081967214,1.594,1.629,1.161,1.197,0.0,0.0,0.0,0.0,1.587,1.62,0.512,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.591,2025-09-21 17:40:00
2025-09-21 17:45:00,1.577,1.073,4.255737704918033,1.577,1.613,1.16,1.196,0.0,0.0,0.0,0.0,1.571,1.604,0.504,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.576,2025-09-21 17:45:00
2025-09-21 17:50:00,1.558,1.064,4.281284153005465,1.558,1.594,1.159,1.195,0.0,0.0,0.0,0.0,1.546,1.596,0.494,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.558,2025-09-21 17:50:00
2025-09-21 17:55:00,1.537,1.055,4.281284153005465,1.537,1.573,1.158,1.194,0.0,0.0,0.0,0.0,1.523,1.553,0.482,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.538,2025-09-21 17:55:00
2025-09-21 18:00:00,1.515,1.046,4.2918032786885245,1.515,1.55,1.156,1.192,0.0,0.0,0.0,0.0,1.504,1.538,0.46899999999999986,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.517,2025-09-21 18:00:00
2025-09-21 18:05:00,1.492,1.037,4.266256830601093,1.492,1.527,1.154,1.19,0.0,0.0,0.0,0.0,1.519,1.555,0.45500000000000007,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.495,2025-09-21 18:05:00
2025-09-21 18:10:00,1.47,1.028,4.28879781420765,1.47,1.504,1.151,1.187,0.0,0.0,0.0,0.0,1.462,1.497,0.44199999999999995,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.472,2025-09-21 18:10:00
2025-09-21 18:15:00,1.448,1.02,4.257240437158471,1.448,1.482,1.147,1.183,0.0,0.0,0.0,0.0,1.437,1.474,0.42799999999999994,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.45,2025-09-21 18:15:00
2025-09-21 18:20:00,1.426,1.011,4.282786885245902,1.426,1.46,1.144,1.18,0.0,0.0,0.0,0.0,1.427,1.46,0.41500000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.427,2025-09-21 18:20:00
2025-09-21 18:25:00,1.405,1.002,4.245218579234973,1.405,1.438,1.14,1.176,0.0,0.0,0.0,0.0,1.406,1.437,0.403,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.406,2025-09-21 18:25:00
2025-09-21 18:30:00,1.385,0.994,4.293306010928962,1.385,1.418,1.135,1.171,0.0,0.0,0.0,0.0,1.382,1.409,0.391,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.384,2025-09-21 18:30:00
2025-09-21 18:35:00,1.365,0.986,4.1775956284153,1.365,1.398,1.13,1.166,0.0,0.0,0.0,0.0,1.37,1.407,0.379,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.364,2025-09-21 18:35:00
2025-09-21 18:40:00,1.345,0.977,4.264754098360656,1.345,1.378,1.125,1.161,0.0,0.0,0.0,0.0,1.361,1.389,0.368,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.343,2025-09-21 18:40:00
2025-09-21 18:45:00,1.325,0.969,4.290300546448088,1.325,1.358,1.119,1.155,0.0,0.0,0.0,0.0,1.308,1.34,0.356,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.323,2025-09-21 18:45:00
